Titulo;Isbn;Autor;Assunto;Valor;
Soalho de Tábua;978-85-7480-548-1;Moacyr Godoy Moreira;Literatura brasileira, Contos, Ilustrado;R$ 35,00;
Sobre o Filme Lavour'Arcaica;85-7480-140-2;Luiz Fernando Carvalho;Cinema, Entrevistas, Ilustrado;R$ 65,00;
Sociologia Brasileira Hoje;978-85-7480-772-0;Sergio Miceli, Carlos Benedito Martins;Ilustrado, Sociologia e Sociedade, Política, Economia, Cidadania;R$ 68,00;
Sociologia Brasileira Hoje II;978-85-7480-810-9;Sergio Miceli, Carlos Benedito Martins;Sociologia e Sociedade, Política, Economia;R$ 72,00;
Sociologia da Leitura;978-85-7480-507-8;Mauro Gama, Chantal Horellou-Lafarge, Monique Segré;Tradução, Sociologia e Sociedade, Literatura, Cultura, Livrarias;R$ 56,00;
Sofia - Uma Ventania para Dentro / Sofia - Una Brisa para Dentro;85-7480-294-8;Sidney Rocha;Literatura brasileira, Romance, Bilíngue;R$ 64,00;
Sombras da Percepção;978-85-7480-520-7;Geoffrey Lynn, Aurora Fornoni Bernardini;Poesia, Literatura estrangeira, Bilíngue;R$ 62,00;
Sombras e Distâncias;85-7480-063-5;Egberto Penido;Literatura brasileira, Poesia, Ilustrado;R$ 57,00;
Somente nos Cinemas;978-85-7480-836-9;Jorge Ialanji Filholini;Literatura brasileira, Contos;R$ 65,00;
Sondas;85-85851-19-8;José de Paula Ramos Jr.;Literatura brasileira, Poesia;R$ 63,00;
Sonetos de Camões - 6a ed.;9788574807447;Izeti Fragata Torralvo, Carlos Cortez Minchillo, Luís de Camões;Poesia, Literatura portuguesa, Ilustrado;R$ 58,00;
Sonetos de Camões - 7a ed.;978-65-5580-100-2;Luís de Camões, Hélio Cabral, Izeti Fragata Torralvo, Carlos Cortez Minchillo;Ilustrado, Poesia, Literatura portuguesa;R$ 58,00;
Sudário;85-7480-330-8;Guiomar de Grammont;Literatura brasileira, Contos;R$ 62,00;
Túnel do Tempo;978-85-7480-370-8;José Sebastião Witter;Memória, Literatura brasileira, Jornalismo;R$ 64,00;
Teatro da Memória de Giulio Camillo, O;85-7480-296-4;Milton José de Almeida;Arte, Teatro, Filosofia, Ilustrado;R$ 87,00;
Teatro de Animação;85-85851-25-2;Ana Maria Amaral;Teatro, Ilustrado;R$ 55,00;
Teatro Russo - Literatura e Espetáculo;978-85-7480-567-2;Arlete Cavalieri, Elena Vássina;Ilustrado, Crítica literária, Literatura estrangeira, Teatro;R$ 110,00;
Tempo Solto;978-85-7480-637-2;Amálio Pinheiro;Literatura brasileira, Poesia;R$ 42,00;
Tempo Vivo da Memória, O - 4a ed.;978-65-5580-067-8;Ecléa Bosi;Memória, Ilustrado, Sociologia e Sociedade, Psicanálise e Psicologia, Cidadania;R$ 75,00;
Tempo Vivo da Memória, O - Ensaios de Psicologia Social;978-85-7480-640-2;Ecléa Bosi;Memória, Psicanálise e Psicologia, Sociologia e Sociedade;R$ 55,00;
Tempos da Fotografia, Os - 4. ed.;978-65-5580-106-4;Boris Kossoy;Ilustrado, Comunicação, Fotografia;R$ 58,00;
Tempos da Fotografia, Os - O Efêmero e o Perpétuo;978-85-7480-336-4;Boris Kossoy;História, Fotografia, Ilustrado;R$ 55,00;
Teoria da Poesia Concreta - Textos Críticos e Manifestos (1950-1960);978-85-7480-678-5;Décio Pignatari, Augusto de Campos, Haroldo de Campos;Literatura brasileira, Poesia, Teoria literária, Poesia concreta;R$ 78,00;
Teoria da Restauração;978-85-7480-631-0;Cesare Brandi;Arquitetura, Restauração;R$ 75,00;
Teoria Social Contemporânea;978-65-5580-074-6;Patrick Baert, Filipe Carreira da Silva;Sociologia e Sociedade, Filosofia;R$ 110,00;
Terceiro Livro dos Fatos e Ditos Heroicos do Bom Pantagruel - 2a ed.;978-65-5580-056-2;François Rabelais, Élide Valarini Oliver;Ilustrado, Romance, Literatura estrangeira, Tradução;R$ 168,00;
Terceiro Livro dos Fatos e Ditos Heroicos do Bom Pantagruel, O - 1a edição;85-7480-103-8;François Rabelais;Romance, Literatura estrangeira, Ilustrado, Tradução;R$ 136,00;
Terceiro Tempo;978-85-7480-691-4;Décio Pignatari;Literatura brasileira, Crônicas, História;R$ 58,00;
Território de Epidauro;85-7480-188-7;Pedro Nava;Memória, Medicina e Saúde;R$ 72,00;
Til - Romance Brasileiro;978-85-7480-587-0;Ivan Teixeira, José de Alencar;Literatura brasileira, Romance, Ilustrado;R$ 62,00;
Timbre;85-7480-242-5;Virgílio Maia;Literatura brasileira, Poesia;R$ 53,00;
Toda a Cidade de São Francisco do Pará;978-6555-800-142;Gustavo Piqueira;Arte, Comunicação, História;R$ 48,00;
Todos Entoam - Ensaios, Conversas e Lembranças;978-85-7480-689-1;Luiz Tatit;Música, Biografia;R$ 87,00;
Together 1996;85-85851-29-5;Régis Bonvicino;Literatura brasileira, Poesia;R$ 28,00;
Tolerância e o Intempestivo, A;85-7480-293-X;Edson Passetti;Política, Sociologia e Sociedade, Religião, Filosofia;R$ 69,00;
Tragédia Grega - O Mito em Cena;85-7480-187-9;Daisi Malhadas;Mitologia, Teatro;R$ 62,00;
Trajetória de Paulo Emilio;978-85-7480-654-9;Adilson Mendes;Cinema, Cultura;R$ 68,00;
Trajetória em Noite Escura;978-85-7480-562-7;Naoya Shiga;Romance, Literatura estrangeira, Tradução;R$ 72,00;
Transliteração do Hebraico para Leitores Brasileiros;978-85-7480-646-4;Saul Kirschbaum;Tradução, Judaísmo, Editoração, Hebraico;R$ 38,00;
Transmutação Metalinguística na Poética de Edgard Braga, A;978-85-7480-634-1;Beatriz Helena Ramos Amaral;Literatura brasileira, Crítica literária, Poesia;R$ 65,00;
Transverso;978-85-7480-741-6;Marcos Pamplona;Poesia;R$ 44,90;
Travessias - D. João VI e o Mundo Lusófono;978-85-7480-665-5;Paulo Motta Oliveira;Crítica literária, Literatura portuguesa, História;R$ 82,00;
Trágica História do Dr. Fausto, A;978-85-7480-815-4;Luís Bueno, Christopher Marlowe;Bilíngue, Tradução, Teatro, Literatura clássica;R$ 146,00;
Três Vezes Machado de Assis;978-85-7480-345-6;Ubiratan Machado;Memória, Literatura brasileira, Crítica literária;R$ 58,00;
Tripé;85-85851-77-5;Rodrigo Lacerda;Literatura brasileira, Contos;R$ 67,00;
Triste Fim de Policarpo Quaresma;978-85-7480-704-1;Gustavo Martins, Lima Barreto, Ivan Teixeira;Literatura brasileira, Romance, Ilustrado;R$ 59,00;
Tropicália - Alegoria Alegria (5a. ed.);978-65-5580-017-3;Celso Favaretto;Música, Crítica musical;R$ 67,00;
TV Digital.Br: Conceitos e Estudos sobre o ISDB-Tb;978-85-7480-455-2;S. Squirra, Valdecir Becker;Comunicação, Televisão, Ilustrado;R$ 58,00;
Ubiratan Machado - Bibliófilo e Leitor Exemplar;978-65-5580-089-0;Ubiratan Machado;Memória, Ilustrado, Literatura, História, Biografia, Bibliofilia;R$ 60,00;
Um Amor Literário;85-7480-305-7;Letícia Malard;Literatura brasileira, Romance;R$ 58,00;
Um Canto;85-85851-33-3;Cacá Moreira de Souza;Literatura brasileira, Poesia;R$ 68,00;
Um Lance de Dados - 2a. ed.;978-85-7480-767-6;Álvaro Faleiros, Stéphane Mallarmé;Poesia, Literatura estrangeira, Bilíngue, Tradução;R$ 52,00;
Um Lance de Dados - 3a. ed.;978-65-5580-104-0;Álvaro Faleiros, Stéphane Mallarmé;Literatura estrangeira, Poesia, Bilíngue;R$ 58,00;
Uma Lua em Paris;85-85851-17-1;M. A. Amaral Rezende;Ilustrado, Literatura brasileira, Romance;R$ 53,00;
Urna, A;85-7480-019-8;David Oscar Vaz;Literatura brasileira, Contos;R$ 54,00;
Vanguardas: Brasil  Itália;85-7480-157-7;Lúcia Wataghin;Crítica literária, Arquitetura, Cultura;R$ 65,00;
Várias Histórias;978-85-7480-441-5;José de Paula Ramos Jr., Machado de Assis;Literatura brasileira, Contos, Ilustrado;R$ 44,00;
Várias Histórias - 3a. ed.;978-65-5580-094-4;José de Paula Ramos Jr., Machado de Assis;Ilustrado, Literatura brasileira, Contos;R$ 65,00;
Vão-se os Dias e Eu Fico;978-85-7480-451-4;Edson Nery da Fonseca;Memória, Biblioteconomia, Ilustrado;R$ 56,00;
Velho é o Espelho;978-85-7480-372-2;Maria de Lourdes Ferreira Alves;Literatura brasileira, Poesia;R$ 58,00;
Velho Chico ou A Vida é Amável, O;85-85851-57-0;Dirce de Assis Cavalcanti;Memória;R$ 62,00;
Velhos Amigos;978-85-7480-841-3;Ecléa Bosi;Memória, Ilustrado, Literatura brasileira, Contos, Crônicas;R$ 68,00;
Vermelho;85-7480-039-2;Aguinaldo Gonçalves;Ilustrado, Literatura brasileira, Poesia;R$ 72,00;
Viagem a um Deserto Interior;978-85-7480-711-9;Leila Guenther;Literatura brasileira, Poesia, Ilustrado;R$ 64,00;
Viagem ao Egito, Jordânia e Israel;85-7480-241-7;Pedro Nava;Memória, Literatura brasileira, Ilustrado;R$ 42,00;
Viagem de Joseph Língua;978-85-7480-448-4;Pedro Américo de Farias;Literatura brasileira, Romance;R$ 27,00;
Viagem Magnética;978-85-7480-687-7;Décio Pignatari;Literatura brasileira, Teatro;R$ 55,00;
Viagens na Minha Terra;978-85-7480-592-4;Ivan Teixeira, Kaio Romero, Almeida Garrett;Romance, Literatura portuguesa, Ilustrado;R$ 62,00;
Vida e Morte de M. J. Gonzaga de Sá;978-85-7480-765-2;Lima Barreto, Marcos Scheffel, Kaio Romero;Ilustrado, Literatura brasileira, Romance;R$ 43,00;
Vida e Morte de M. J. Gonzaga de Sá - 2a. ed.;978-65-5580-095-1;Lima Barreto, Marcos Scheffel;Ilustrado, Literatura brasileira, Romance;R$ 59,00;
Vida Literária no Brasil Colônia, A;978-65-5580-080-7;Ubiratan Machado;Ilustrado, Literatura brasileira, História, Estudos Literários;R$ 98,00;
Vidas de Dante - 2 edição;978-65-5580-075-3;Dante Alighieri, Eduardo Henrik Aubert;Biografia, História;R$ 82,00;
Vitrola dos Ausentes;85-7480-269-7;Paulo Ribeiro;Literatura brasileira, Romance;R$ 63,00;
Viva Vaia - Poesia 1949-1979;978-85-7480-688-4;Augusto de Campos;Literatura brasileira, Poesia, Poesia concreta, Ilustrado;R$ 160,00;
Vocabulário Português-Nheengatu - Nheengatu-Português;978-85-7480-638-9;E. Stradelli;Tradução, Dicionário, Linguística;R$ 110,00;
Voo Noturno das Galinhas, O;85-7480-323-5;Leila Guenther;Literatura brasileira, Contos;R$ 58,00;
Voz que Canta na Voz que Fala, A - Poética e Política na Trajetória de Gilberto Gil;978-85-7480-718-8;Pedro Henrique Varoni de Carvalho;Música, Crítica musical;R$ 78,00;
William Morris - Sobre as Artes do Livro;978-85-7480-845-1;Gustavo Piqueira, William Morris;Ilustrado, Design, Artes gráficas, Tradução, Editoração, Livros sobre livros;R$ 188,00;
Yaser;978-85-7480-813-0;Eda Nagayama;Ilustrado, Romance, Literatura, Bilíngue, Política;R$ 45,00;
Zé Ferino;85-85851-98-8;Rodrigo Penteado;Literatura brasileira, Romance, Ilustrado;R$ 34,00;
